dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2022-0099-MOZ,Sofala,Admin1,Sofala,,llm_osm,GAUL,3,geodetic,67994892976.2316,534878923259.99554,67958319542.18144,534915496694.0457,0.9994621149846807,0.12705365006343325,0.12704496310573593,False,False,False,False
2022-0099-MOZ,Manica,Admin1,Manica,,llm_osm,GAUL,3,geodetic,62317123639.08792,534878923259.99554,62240973316.48524,534955073582.59827,0.9987780192962097,0.11636460254806294,0.11634803816263851,False,False,False,False
2022-0103-AUS,Queensland,Admin1,Queensland,,llm_osm,GAUL,3,geodetic,1851881261003.1758,805223074752.5181,4474159247.452922,2652630176508.2407,0.0024160076251483,0.005556422049663736,0.0016866879096363255,False,False,False,False
2022-0103-AUS,New South Wales,Admin1,New South Wales,,llm_osm,GAUL,3,geodetic,810152899156.3098,805223074752.5181,800736178011.9374,814639795896.8905,0.9883766124219527,0.9944277593610197,0.9829328029946711,False,False,False,False
2022-0103-AUS,Brisbane,Admin2,Queensland,Brisbane,llm_osm,GAUL,3,geodetic,1378917951.4071467,805223074752.5181,0.0,806601992703.9252,0.0,0.0,0.0,False,False,False,False
2022-0103-AUS,Gympie,Admin2,Queensland,Gympie,llm_osm,GAUL,3,geodetic,15227415.672403768,805223074752.5181,0.0,805238302168.1904,0.0,0.0,0.0,False,False,False,False
2022-0103-AUS,Sunshine Coast,Admin2,Queensland,Sunshine Coast,llm_osm,GAUL,3,geodetic,2286581193.3113217,805223074752.5181,2249917537.419335,805259738408.41,0.9839657318973694,0.0027941543256331017,0.0027940271071620697,False,False,False,False
2022-0103-AUS,Gold Coast,Admin2,Queensland,Gold Coast,llm_osm,GAUL,3,geodetic,1377066623.0387433,805223074752.5181,1329458983.0512524,805270682392.5055,0.9654282231585599,0.0016510443189421218,0.0016509467091256238,False,False,False,False
2022-0105-ARG,Santo Tomé,Admin2,Corrientes,Santo Tomé,llm_osm,GAUL,3,geodetic,16902021.09194648,28570704962.102764,16902021.09194648,28570704962.102764,1.0,0.0005915857209111901,0.0005915857209111901,False,True,False,True
2022-0105-ARG,Ituzaingó,Admin2,Corrientes,Ituzaingó,llm_osm,GAUL,3,geodetic,9766725280.36153,28570704962.102764,9730284065.07699,28607146177.387306,0.9962688399398502,0.3405685676284011,0.3401347343332119,False,False,False,False
2022-0105-ARG,San Martín,Admin2,Corrientes,San Martín,llm_osm,GAUL,3,geodetic,115556.1490949057,28570704962.102764,115556.1490949057,28570704962.102764,1.0,4.044567652362224e-06,4.044567652362224e-06,False,True,False,True
