dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2006-0247-SUR,"['Boven Suriname', 'Coppename', 'Kabalebo', 'Tapanahony', 'Bven Saramacca', 'Sarakreek', 'Coronie']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1']","['Sipaliwini', 'Sipaliwini', 'Sipaliwini', 'Sipaliwini', 'Sipaliwini', 'Brokopondo', 'Coronie']","['Boven Suriname', 'Coppename', 'Kabalebo', 'Tapanahony', 'Bven Saramacca', 'Sarakreek', None]",gdis_gadm,GAUL,1,geodetic,101906888762.43425,116790243102.96733,97537201863.39384,121159930002.00774,0.9571207898493788,0.8351485472754846,0.8050285425369391,False,False,False,False
2006-0255-TZA,"['Moshi Urban', 'Rombo']","['AdminAdmin2', 'AdminAdmin2']","['Kilimanjaro', 'Kilimanjaro']","['Moshi Urban', 'Rombo']",gdis_gadm,GAUL,1,geodetic,1509170952.6411405,1345368621.0719767,6922095.796459986,2847617477.916657,0.004586687667388442,0.005145129511750116,0.0024308376564412208,False,False,False,False
2006-0257-USA,"['Bexar', 'Tarrant']","['AdminAdmin2', 'AdminAdmin2']","['Texas', 'Texas']","['Bexar', 'Tarrant']",gdis_gadm,GAUL,1,geodetic,5571188599.63566,5590181450.250421,5538347548.848777,5623022501.037305,0.9941051985228015,0.9907276889197717,0.9849413812281727,False,False,False,False
2006-0262-BGD,"['Kanaighat', 'Zakiganj', 'Habiganj', 'Maulvibazar', 'Sunamganj', 'Khagrachhari']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Sylhet', 'Sylhet', 'Sylhet', 'Sylhet', 'Sylhet', 'Chittagong']","['Sylhet', 'Sylhet', 'Habiganj', 'Maulvibazar', 'Sunamganj', 'Khagrachhari']",gdis_gadm,GAUL,1,geodetic,12416180834.854277,15115678825.128372,12020995314.872272,15510864345.110378,0.9681717328993266,0.7952666535153232,0.7750048641655327,False,False,False,False
2006-0269-CAN,"['Grand Forks', 'Nelson', 'Penticton']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3']","['British Columbia', 'British Columbia', 'British Columbia']","['Kootenay Boundary', 'Central Kootenay', 'Okanagan-Similkameen']",gdis_gadm,GAUL,1,geodetic,64629220.52935505,41830679774.46349,64629220.52935505,41830679774.46349,1.0,0.0015450196094783392,0.0015450196094783392,False,True,False,True
2006-0279-IDN,"['Bantul', 'Boyolali', 'Gunung Kidul', 'Klaten', 'Magelang', 'Purworejo', 'Sleman', 'Kulon Progo', 'Kota Yogyakarta', 'Banten', 'Jakarta Raya', 'Jawa Barat', 'Jawa Timur']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1']","['Yogyakarta', 'Jawa Tengah', 'Yogyakarta', 'Jawa Tengah', 'Jawa Tengah', 'Jawa Tengah', 'Yogyakarta', 'Yogyakarta', 'Yogyakarta', 'Banten', 'Jakarta Raya', 'Jawa Barat', 'Jawa Timur']","['Bantul', 'Boyolali', 'Gunung Kidul', 'Klaten', 'Magelang', 'Purworejo', 'Sleman', 'Kulon Progo', 'Kota Yogyakarta', None, None, None, None]",gdis_gadm,GAUL,1,geodetic,102121304986.16577,7155344656.020256,6931637103.848588,102345012538.33745,0.06787650338768787,0.9687356007395886,0.06772813771703887,False,False,False,False
2006-0291-AFG,['Bilchiragh'],['AdminAdmin2'],['Faryab'],['Bilchiragh'],gdis_gadm,GAUL,1,geodetic,2866833010.7913213,2988975205.88574,2611139887.768642,3244668328.908419,0.9108098999627113,0.873590347162103,0.8047478580490504,False,False,False,False
2006-0299-TWN,"['Changhua', 'Chiayi', 'Hsinchu', 'Nantou', 'Kaohsiung', 'Taichung']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1']","['Taiwan', 'Taiwan', 'Taiwan', 'Taiwan', 'Kaohsiung', 'Taichung']","['Changhua', 'Chiayi', 'Hsinchu', 'Nantou', 'Kaohsiung', 'Taichung']",gdis_gadm,GAUL,1,geodetic,10607373674.027811,36127350383.997894,10540038733.609013,36194685324.41669,0.9936520629433779,0.291746796307475,0.291204043884829,False,False,False,False
2006-0302-POL,"['Nowy Sacz', 'Tarnow']","['AdminAdmin2', 'AdminAdmin2']","['Malopolskie', 'Malopolskie']","['Nowy Sacz', 'Tarnow']",gdis_gadm,GAUL,1,geodetic,133310107.50354183,3024075254.267856,133310107.50354183,3024075254.267856,1.0,0.04408293322575297,0.04408293322575297,False,True,False,True
2006-0302-SVK,"['Bardejov', 'Presov', 'Kosicky']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1']","['Presovsky', 'Presovsky', 'Kosicky']","['Bardejov', 'Presov', None]",gdis_gadm,GAUL,1,geodetic,8666969676.05869,15766589388.010246,8561487634.714034,15872071429.3549,0.9878294207448268,0.5430145622505173,0.5394058156063883,False,False,False,False
