dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2008-0338-HTI,Sud,Admin1,Sud,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0338-HTI,Nippes,Admin1,Nippes,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0338-HTI,Ouest,Admin1,Ouest,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0338-HTI,Artibonite,Admin1,L'Artibonite,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0338-HTI,Nord-Ouest,Admin1,Nord-Ouest,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0338-HTI,Nord,Admin1,Nord,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0338-HTI,Nord-Est,Admin1,Nord-Est,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0338-HTI,Sud-Est,Admin1,Sud-Est,,llm_wiki,GAUL,2,geodetic,0.0,27021531964.95855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0338-JAM,Kingston,Admin1,Kingston,,llm_wiki,GAUL,2,geodetic,0.0,10964651156.116692,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0346-BRA,Santa Catarina,Admin1,Santa Catarina,,llm_wiki,GAUL,2,geodetic,0.0,367014816516.4107,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0346-BRA,Rio Grande do Sul,Admin1,Rio Grande do Sul,,llm_wiki,GAUL,2,geodetic,0.0,367014816516.4107,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0347-PHL,Bansalan,Admin2,Davao del Sur,Bansalan,llm_wiki,GAUL,2,geodetic,0.0,5628109510.7050905,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0350-PAK,Balochistan,Admin1,Balochistan,,llm_wiki,GAUL,2,geodetic,0.0,347784415921.67645,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-CUB,Isla de la Juventud,Admin1,Isla de la Juventud,,llm_wiki,GAUL,2,geodetic,0.0,30731965781.979103,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-CUB,Pinar del Río,Admin1,Pinar del Río,,llm_wiki,GAUL,2,geodetic,0.0,30731965781.979103,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-CUB,Matanzas,Admin1,Matanzas,,llm_wiki,GAUL,2,geodetic,0.0,30731965781.979103,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-DOM,Santo Domingo,Admin1,Santo Domingo,,llm_wiki,GAUL,2,geodetic,0.0,1297882294.2194092,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0352-HTI,Sud-Est,Admin1,Sud-Est,,llm_wiki,GAUL,2,geodetic,0.0,21186377885.12254,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-HTI,Sud,Admin1,Sud,,llm_wiki,GAUL,2,geodetic,0.0,21186377885.12254,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-HTI,Nippes,Admin1,Nippes,,llm_wiki,GAUL,2,geodetic,0.0,21186377885.12254,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0352-HTI,Ouest,Admin1,Ouest,,llm_wiki,GAUL,2,geodetic,0.0,21186377885.12254,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-HTI,Grand'Anse,Admin1,Grand'Anse,,llm_wiki,GAUL,2,geodetic,0.0,21186377885.12254,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0352-HTI,Artibonite,Admin1,L'Artibonite,,llm_wiki,GAUL,2,geodetic,0.0,21186377885.12254,0.0,0.0,0.0,0.0,0.0,False,True,False,True
