dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2008-0346-BRA,Santa Catarina,Admin1,Santa Catarina,,llm_wiki,GDIS,2,geodetic,0.0,370060994474.4952,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0346-BRA,Rio Grande do Sul,Admin1,Rio Grande do Sul,,llm_wiki,GDIS,2,geodetic,0.0,370060994474.4952,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0347-PHL,Bansalan,Admin2,Davao del Sur,Bansalan,llm_wiki,GDIS,2,geodetic,0.0,6061019874.388716,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0350-PAK,Balochistan,Admin1,Balochistan,,llm_wiki,GDIS,2,geodetic,0.0,348723176110.11255,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-CUB,Isla de la Juventud,Admin1,Isla de la Juventud,,llm_wiki,GDIS,2,geodetic,0.0,26033661115.641117,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-CUB,Pinar del Río,Admin1,Pinar del Río,,llm_wiki,GDIS,2,geodetic,0.0,26033661115.641117,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-CUB,Matanzas,Admin1,Matanzas,,llm_wiki,GDIS,2,geodetic,0.0,26033661115.641117,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-DOM,Santo Domingo,Admin1,Santo Domingo,,llm_wiki,GDIS,2,geodetic,0.0,1315325047.630285,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0352-HTI,Sud-Est,Admin1,Sud-Est,,llm_wiki,GDIS,2,geodetic,0.0,21197617393.459938,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-HTI,Sud,Admin1,Sud,,llm_wiki,GDIS,2,geodetic,0.0,21197617393.459938,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-HTI,Nippes,Admin1,Nippes,,llm_wiki,GDIS,2,geodetic,0.0,21197617393.459938,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0352-HTI,Ouest,Admin1,Ouest,,llm_wiki,GDIS,2,geodetic,0.0,21197617393.459938,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-HTI,Grand'Anse,Admin1,Grand'Anse,,llm_wiki,GDIS,2,geodetic,0.0,21197617393.459938,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0352-HTI,Artibonite,Admin1,L'Artibonite,,llm_wiki,GDIS,2,geodetic,0.0,21197617393.459938,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-HTI,Centre,Admin1,Centre,,llm_wiki,GDIS,2,geodetic,0.0,21197617393.459938,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0352-JAM,Kingston,Admin1,Kingston,,llm_wiki,GDIS,2,geodetic,0.0,3836867782.810428,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0362-BEN,Ouinhi,Admin2,Zou,Ouinhi,llm_wiki,GDIS,2,geodetic,0.0,294738911.6792602,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0378-HTI,Sud,Admin1,Sud,,llm_wiki,GDIS,2,geodetic,0.0,10799941566.860554,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0378-HTI,Nord,Admin1,Nord,,llm_wiki,GDIS,2,geodetic,0.0,10799941566.860554,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0378-HTI,Sud-Est,Admin1,Sud-Est,,llm_wiki,GDIS,2,geodetic,0.0,10799941566.860554,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0378-HTI,Nippes,Admin1,Nippes,,llm_wiki,GDIS,2,geodetic,0.0,10799941566.860554,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0378-HTI,Port-au-Prince,Admin2,Ouest,Port-au-Prince,llm_wiki,GDIS,2,geodetic,0.0,10799941566.860554,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0383-IDN,Maluku,Admin1,Maluku,,llm_wiki,GDIS,2,geodetic,0.0,364011682891.5289,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0383-IDN,Riau,Admin1,Riau,,llm_wiki,GDIS,2,geodetic,0.0,364011682891.5289,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0383-IDN,Gorontalo,Admin2,Gorontalo,Gorontalo,llm_wiki,GDIS,2,geodetic,0.0,364011682891.5289,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0385-BGD,Sirajganj,Admin2,Rajshahi,Sirajganj,llm_wiki,GDIS,2,geodetic,0.0,5331559409.750339,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0389-CHL,Los Ríos,Admin1,Los Ríos,,llm_wiki,GDIS,2,geodetic,0.0,106736816547.52232,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0389-CHL,Los Lagos,Admin1,Los Lagos,,llm_wiki,GDIS,2,geodetic,0.0,106736816547.52232,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0389-CHL,Maule,Admin1,Maule,,llm_wiki,GDIS,2,geodetic,0.0,106736816547.52232,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0409-PAN,Chiriquí,Admin1,Chiriquí,,llm_wiki,GDIS,2,geodetic,0.0,960457058.7450641,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0410-SEN,Thiès,Admin1,Thiès,,llm_wiki,GDIS,2,geodetic,0.0,37729662957.308334,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0410-SEN,Diourbel,Admin1,Diourbel,,llm_wiki,GDIS,2,geodetic,0.0,37729662957.308334,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0410-SEN,Saint-Louis,Admin1,Saint-Louis,,llm_wiki,GDIS,2,geodetic,0.0,37729662957.308334,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0410-SEN,Kaolack,Admin1,Kaolack,,llm_wiki,GDIS,2,geodetic,0.0,37729662957.308334,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0410-SEN,Dakar,Admin1,Dakar,,llm_wiki,GDIS,2,geodetic,0.0,37729662957.308334,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0415-IND,Krishna,Admin2,Andhra Pradesh,Krishna,llm_wiki,GDIS,2,geodetic,0.0,38919897394.41886,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0415-IND,Guntur,Admin2,Andhra Pradesh,Guntur,llm_wiki,GDIS,2,geodetic,0.0,38919897394.41886,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0420-ITA,Milano,Admin2,Lombardia,Milano,llm_wiki,GDIS,2,geodetic,0.0,1561651143.4949574,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0420-ITA,Como,Admin2,Lombardia,Como,llm_wiki,GDIS,2,geodetic,0.0,1561651143.4949574,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0420-ITA,Lecco,Admin2,Lombardia,Lecco,llm_wiki,GDIS,2,geodetic,0.0,1561651143.4949574,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0420-ITA,Sondrio,Admin2,Lombardia,Sondrio,llm_wiki,GDIS,2,geodetic,0.0,1561651143.4949574,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0423-IND,Odisha,Admin1,Odisha,,llm_wiki,GDIS,2,geodetic,0.0,451985745178.6322,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0423-IND,Uttar Pradesh,Admin1,Uttar Pradesh,,llm_wiki,GDIS,2,geodetic,0.0,451985745178.6322,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0423-IND,Himachal Pradesh,Admin1,Himachal Pradesh,,llm_wiki,GDIS,2,geodetic,0.0,451985745178.6322,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0427-CRI,Puntarenas,Admin1,Puntarenas,,llm_wiki,GDIS,2,geodetic,0.0,2100256328.9906352,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0430-THA,Phitsanulok,Admin1,Phitsanulok,,llm_wiki,GDIS,2,geodetic,0.0,19399947476.480568,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0430-THA,Lopburi,Admin1,Lop Buri,,llm_wiki,GDIS,2,geodetic,0.0,19399947476.480568,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0430-THA,Phra Nakhon Si Ayutthaya,Admin1,Phra Nakhon Si Ayutthaya,,llm_wiki,GDIS,2,geodetic,0.0,19399947476.480568,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0457-NIC,Granada,Admin1,Granada,,llm_wiki,GDIS,2,geodetic,0.0,12705198762.590958,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0459-BDI,Cibitoke,Admin1,Cibitoke,,llm_wiki,GDIS,2,geodetic,0.0,2005511545.0079792,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0459-BDI,Ngozi,Admin1,Ngozi,,llm_wiki,GDIS,2,geodetic,0.0,2005511545.0079792,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0459-BDI,Muhuta,Admin2,Bujumbura Rural,Muhuta,llm_wiki,GDIS,2,geodetic,0.0,2005511545.0079792,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2008-0459-BDI,Ngozi,Admin2,Ngozi,Ngozi,llm_wiki,GDIS,2,geodetic,0.0,2005511545.0079792,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2008-0484-BLZ,Belize,Admin1,Belize,,llm_wiki,GDIS,2,geodetic,0.0,15228029987.012129,0.0,0.0,0.0,0.0,0.0,False,True,False,True
